_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
64268bf80a366c07ed26a127||53.58|93.71|53.58|65.88|134,0,0,0|time|30|-1|22|30.01|0|96.35|false|false|english|none|normal|false|false|false||1680247800000
64268b610a366c07ed23a7c0||52.38|91.84|54.78|65.72|131,1,0,0|time|30|-1|18|30.01|0|69.1|false|false|english|none|normal|false|false|false||1680247649000
64268ade0a366c07ed23a494||57.58|91.19|57.58|65.51|144,0,0,0|time|30|-1|10|30.01|0|39.61|false|false|english|none|normal|false|false|false||1680247518000
64268a850a366c07ed23a242||53.6|92.52|54.4|65.72|134,1,0,0|time|30|-1|4|30|0|8.44|false|false|english|none|normal|false|false|false||1680247429000
64268a560a366c07ed23a0f0||47.99|87.85|51.19|57.54|240,3,0,0|time|60|-1|4|60.01|0|25.61|false|false|english|none|normal|false|false|false||1680247382000
642689e60a366c07ed239dd5||50.99|91.84|51.79|62.9|255,3,0,0|time|60|-1|27|60.01|0|94.19|false|false|english|none|normal|false|false|false||1680247270000
6426891a0a366c07ed2398bb||54.99|95.56|56.19|69.38|275,1,0,0|time|60|-1|4|60.01|0|36.57|false|false|english|none|normal|false|false|false||1680247066000
642688a70a366c07ed23959c||50.59|91.93|52.99|66.36|253,2,0,0|time|60|-1|26|60.01|0|198.62|false|false|english|none|normal|false|false|false||1680246951000
6425bc770a366c07edc0646c|true|48.9|89.22|50.1|59|489,3,0,0|time|120|-1|3|120.01|0|5.32|false|false|english|none|normal|false|false|false||1680194679000
6425bbbd0a366c07edc05b5c||52.38|90.48|52.38|60.82|131,0,0,0|time|30|-1|37|30.01|0|139.01|false|false|english|none|normal|false|false|false||1680194493000
6425bae80a366c07edc05085||55.2|92.62|55.2|72.26|138,0,0,0|time|30|-1|17|30|0|67.32|false|false|english|none|normal|false|false|false||1680194280000
6425b9dd0a366c07edc0439b||53.18|95.33|57.98|63.13|133,2,0,0|time|30|-1|7|30.01|0|34.33|false|false|english|none|normal|false|false|false||1680194013000
64259c6a0a366c07ed896de5||50.38|87.76|51.58|63.75|126,1,0,0|time|30|-1|4|30.01|0|18.73|false|false|english|none|normal|false|false|false||1680186474000
64259c340a366c07ed896b45||50.38|88.28|50.38|61.1|126,0,0,0|time|30|-1|12|30.01|0|83.42|false|false|english|none|normal|false|false|false||1680186420000
64259bb40a366c07ed8964f9||50.38|89.66|52.38|64.14|126,2,0,0|time|30|-1|22|30.01|0|81.15|false|false|english|none|normal|false|false|false||1680186292000
64259b230a366c07ed895dca||49.98|93.66|52.38|64.69|125,0,0,1|time|30|-1|30|30.01|0|126.61|false|false|english|none|normal|false|false|false||1680186147000
64259a670a366c07ed89543a||48.4|88.82|55.6|68.62|121,3,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1680185959000
64259a470a366c07ed895273||51.2|87.67|51.2|62.98|128,0,0,0|time|30|-1|3|30|0|12.62|false|false|english|none|normal|false|false|false||1680185927000
64259a180a366c07ed894fea||53.98|89.17|56.38|68.54|135,1,0,0|time|30|-1|1|30.01|0|5.82|false|false|english|none|normal|false|false|false||1680185880000
642599ed0a366c07ed894d79||54.8|92.57|54.8|63.78|137,0,0,0|time|30|-1|1|30|0|3.56|false|false|english|none|normal|false|false|false||1680185837000
642599c90a366c07ed894b83||53.2|93.15|54.8|61.13|133,1,1,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1680185801000
642599a90a366c07ed8949c9||50.4|90.65|50.4|62.85|126,0,0,0|time|30|-1|4|30|0|11.94|false|false|english|none|normal|false|false|false||1680185769000
642449fcd9bf936fd6134c9b||50.38|89.51|50.38|58.89|126,0,0,0|time|30|-1|22|30.01|0|112.14|false|false|english|none|normal|false|false|false||1680099836000
64244957d9bf936fd61343dd||52.78|88.82|56.38|65.1|132,3,1,1|time|30|-1|16|30.01|0|103.76|false|false|english|none|normal|false|false|false||1680099671000
642448bbd9bf936fd6133b35||49.58|91.89|57.58|73.87|124,5,0,0|time|30|-1|18|30.01|0|100.13|false|false|english|none|normal|false|false|false||1680099515000
64244744d9bf936fd60d3fce||57.18|96|57.18|66.54|143,0,0,0|time|30|-1|71|30.01|0|331.98|false|false|english|none|normal|false|false|false||1680099140000
64244490d9bf936fd60d1b8e||54.76|89.24|55.96|67.88|137,1,0,0|time|30|-1|10|30.02|0|34.36|false|false|english|none|normal|false|false|false||1680098448000
64244445d9bf936fd60730d0||56.78|92.21|56.78|62.13|142,0,0,0|time|30|-1|9|30.01|0|40.12|false|false|english|none|normal|false|false|false||1680098373000
642443f5d9bf936fd6072ca1||48.38|88.65|49.58|70.34|121,1,0,0|time|30|-1|18|30.01|0|74.49|false|false|english|none|normal|false|false|false||1680098293000
642442c6d9bf936fd6071ce0||47.6|88.44|47.6|63.07|476,0,0,0|time|120|-1|1|120.01|0|1.35|false|false|english|none|normal|false|false|false||1680097990000
64244248d9bf936fd607169d|true|48.79|89.49|49.09|57.9|488,0,0,1|time|120|-1|28|120.02|0|167.33|false|false|english|none|normal|false|false|false||1680097864000
64242c97d9bf936fd6e2b1b4||53.58|94.41|53.58|65.88|134,0,0,0|time|30|-1|19|30.01|0|59.56|false|false|english|none|normal|false|false|false||1680092311000
64242c25d9bf936fd6e2acf2||42.2|86.59|42.2|53.28|422,0,0,0|time|120|-1|13|120.01|0|85.72|false|false|english|none|normal|false|false|false||1680092197000
64242b47d9bf936fd6dcbe69||46.2|90.96|46.2|55.23|462,0,0,0|time|120|-1|2|120.01|0|4.39|false|false|english|none|normal|false|false|false||1680091975000
64242ac3d9bf936fd6dcb96d||46|90.52|46|59.07|460,0,0,0|time|120|-1|8|120.01|0|53.33|false|false|english|none|normal|false|false|false||1680091843000
641f0269864bf5f3621ddcdb||40.5|88.55|40.5|50.22|405,0,0,0|time|120|-1|1|120.01|1|1.86|false|false|english|none|normal|false|false|false||1679753833000
641f01e1864bf5f3621ae9aa|true|48.6|91.41|49.3|60.19|486,0,1,0|time|120|-1|4|120|0|9.28|false|false|english|none|normal|false|false|false||1679753697000
